Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID68 : ID17),0,68,17,0.433,0.500,72.167,47.536,0,0.658,0.658,None
(ID17 : ID34),0,17,34,0.230,1.500,72.355,47.520,0,0.480,0.480,None
(ID34 : ID35),0,34,35,0.175,2.500,72.544,47.736,0,0.419,0.419,None
(ID35 : ID85),0,35,85,0.083,3.500,72.788,47.573,0,0.289,0.289,None
(ID85 : ID119),0,85,119,0.685,4.500,73.217,47.303,0,0.828,0.828,None
(ID119 : ID102),0,119,102,0.159,5.500,73.421,47.110,0,0.398,0.398,None
(ID102 : ID136),0,102,136,0.199,6.500,73.021,46.975,0,0.446,0.446,None
(ID136 : ID170),0,136,170,0.223,7.500,73.045,46.917,0,0.472,0.472,None
(ID170 : ID153),0,170,153,0.023,8.500,73.234,46.873,0,0.150,0.150,None
(ID153 : ID187),0,153,187,0.437,9.500,73.482,46.961,0,0.661,0.661,None
(ID187 : ID204),0,187,204,1.222,10.500,74.310,46.958,0,1.106,1.106,None
(ID204 : ID221),0,204,221,0.079,11.500,74.945,46.713,0,0.281,0.281,None
(ID221 : ID238),0,221,238,0.067,12.500,74.922,46.645,0,0.260,0.260,None
(ID238 : ID255),0,238,255,0.160,13.500,74.990,46.628,0,0.400,0.400,None
(ID255 : ID272),0,255,272,0.822,14.500,74.732,46.565,0,0.907,0.907,None
(ID272 : ID306),0,272,306,0.466,15.500,74.514,46.299,0,0.683,0.683,None
(ID306 : ID289),0,306,289,1.621,16.500,74.374,46.565,0,1.273,1.273,None
(ID289 : ID324),0,289,324,0.454,17.500,73.674,47.168,0,0.674,0.674,None
(ID324 : ID341),0,324,341,1.652,18.500,72.787,47.568,0,1.285,1.285,None
(ID341 : ID358),0,341,358,0.166,19.500,72.367,47.734,0,0.407,0.407,None
(ID358 : ID392),0,358,392,0.128,20.500,72.370,47.478,0,0.358,0.358,None
(ID392 : ID375),0,392,375,0.141,21.500,72.364,47.498,0,0.376,0.376,None
(ID375 : ID409),0,375,409,0.894,22.500,72.865,47.333,0,0.945,0.945,None
(ID409 : ID443),0,409,443,0.312,23.500,73.424,47.239,0,0.558,0.558,None
(ID443 : ID426),0,443,426,0.450,24.500,73.483,47.134,0,0.671,0.671,None
(ID426 : ID460),0,426,460,0.037,25.500,73.274,46.883,0,0.192,0.192,None
(ID460 : ID477),0,460,477,0.115,26.500,73.363,46.904,0,0.339,0.339,None
(ID477 : ID511),0,477,511,2.536,27.500,73.101,46.196,0,1.593,1.593,None
(ID511 : ID494),0,511,494,0.759,28.500,72.566,45.946,0,0.871,0.871,None
(ID494 : ID528),0,494,528,0.369,29.500,72.650,46.603,0,0.607,0.607,None
(ID528 : ID545),0,528,545,0.216,30.500,73.038,46.964,0,0.465,0.465,None
(ID545 : ID562),0,545,562,0.160,31.500,73.429,47.056,0,0.400,0.400,None
(ID562 : ID579),0,562,579,0.529,32.500,73.341,46.794,0,0.727,0.727,None
(ID579 : ID596),0,579,596,0.055,33.500,73.164,46.617,0,0.235,0.235,None
(ID596 : ID613),0,596,613,2.219,34.500,72.615,47.021,0,1.490,1.490,None
(ID613 : ID630),0,613,630,1.207,35.500,71.478,47.639,0,1.099,1.099,None
(ID630 : ID647),0,630,647,0.381,36.500,71.023,47.596,0,0.617,0.617,None
(ID647 : ID664),0,647,664,0.479,37.500,71.389,47.220,0,0.692,0.692,None
(ID664 : ID681),0,664,681,0.127,38.500,71.681,47.323,0,0.357,0.357,None
(ID681 : ID698),0,681,698,0.318,39.500,71.626,47.777,0,0.564,0.564,None
(ID698 : ID715),0,698,715,2.694,40.500,72.343,47.675,0,1.641,1.641,None
(ID715 : ID732),0,715,732,0.372,41.500,73.333,47.140,0,0.610,0.610,None
(ID732 : ID749),0,732,749,1.693,42.500,73.035,47.313,0,1.301,1.301,None
(ID749 : ID766),0,749,766,1.646,43.500,73.111,47.599,0,1.283,1.283,None
(ID766 : ID783),0,766,783,0.218,44.500,73.640,47.766,0,0.467,0.467,None
(ID783 : ID800),0,783,800,0.137,45.500,73.424,47.818,0,0.370,0.370,None
(ID800 : ID817),0,800,817,0.452,46.500,73.490,47.956,0,0.672,0.672,None
(ID817 : ID834),0,817,834,0.052,47.500,73.771,48.216,0,0.228,0.228,None
(ID834 : ID851),0,834,851,0.084,48.500,73.857,48.329,0,0.289,0.289,None
(ID851 : ID868),0,851,868,0.386,49.500,74.130,48.377,0,0.621,0.621,None
(ID868 : ID902),0,868,902,0.484,50.500,74.755,48.395,0,0.696,0.696,None
(ID902 : ID885),0,902,885,0.910,51.500,74.742,48.175,0,0.954,0.954,None
(ID885 : ID919),0,885,919,0.481,52.500,74.736,47.922,0,0.693,0.693,None
(ID919 : ID970),0,919,970,0.211,53.500,75.300,48.040,0,0.459,0.459,None
(ID970 : ID936),0,970,936,0.695,54.500,75.189,47.834,0,0.833,0.833,None
(ID936 : ID953),0,936,953,0.425,55.500,74.770,47.274,0,0.652,0.652,None
(ID953 : ID987),0,953,987,0.490,56.500,74.765,47.300,0,0.700,0.700,None
(ID987 : ID1021),0,987,1021,0.336,57.500,74.609,47.815,0,0.580,0.580,None
(ID1021 : ID1038),0,1021,1038,0.431,58.500,74.648,47.804,0,0.656,0.656,None
(ID1038 : ID1004),0,1038,1004,1.986,59.500,74.286,47.927,0,1.409,1.409,None
(ID1004 : ID1055),0,1004,1055,0.371,60.500,73.898,48.411,0,0.609,0.609,None
(ID1055 : ID1072),0,1055,1072,0.402,61.500,74.376,48.807,0,0.634,0.634,None
(ID1072 : ID1089),0,1072,1089,1.719,62.500,74.146,48.558,0,1.311,1.311,None
(ID1089 : ID1107),0,1089,1107,0.014,63.500,73.741,48.106,0,0.116,0.116,None
(ID1107 : ID1124),0,1107,1124,1.259,64.500,73.257,47.971,0,1.122,1.122,None
(ID1124 : ID1141),0,1124,1141,1.277,65.500,72.164,47.702,0,1.130,1.130,None
(ID1141 : ID1176),0,1141,1176,0.050,66.500,71.500,47.579,0,0.224,0.224,None
(ID1176 : ID1158),0,1176,1158,0.318,67.500,71.658,47.655,0,0.564,0.564,None
(ID1158 : ID1193),0,1158,1193,1.184,68.500,71.641,47.274,0,1.088,1.088,None
(ID1193 : ID1211),0,1193,1211,0.682,69.500,71.758,46.898,0,0.826,0.826,None
(ID1211 : ID1263),0,1211,1263,2.080,70.500,72.300,46.278,0,1.442,1.442,None
(ID1263 : ID1246),0,1263,1246,0.792,71.500,72.089,45.847,0,0.890,0.890,None
(ID1246 : ID1229),0,1246,1229,0.023,72.500,71.682,46.074,0,0.153,0.153,None
(ID1229 : ID1280),0,1229,1280,2.629,73.500,70.973,45.541,0,1.621,1.621,None
(ID1280 : ID1298),0,1280,1298,0.819,74.500,70.306,45.511,0,0.905,0.905,None
(ID1298 : ID1333),0,1298,1333,2.485,75.500,71.033,46.225,0,1.576,1.576,None
(ID1333 : ID1315),0,1333,1315,0.516,76.500,71.445,46.623,0,0.719,0.719,None
