ID,TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,ESTIMATED_DIAMETER
79,11,346.275,287.136,0,24.614
28,11,345.623,287.278,1,24.769
62,11,345.567,287.318,2,24.689
46,11,344.565,288.011,3,24.753
96,11,344.51,288.674,4,24.794
130,11,345.371,288.236,5,24.488
113,11,345.465,288.525,6,24.733
147,11,345.103,288.265,7,24.563
181,11,345.633,288.414,8,24.465
164,11,345.516,288.577,9,24.719
198,11,345.097,289.33,10,24.699
215,11,346.006,289.04,11,24.764
232,11,345.913,288.856,12,24.928
249,11,345.92,288.834,13,24.822
266,11,346.053,288.953,14,24.793
283,11,345.425,288.702,15,24.634
318,11,344.889,288.469,16,24.61
300,11,344.432,288.858,17,24.837
335,11,343.918,288.801,18,24.851
352,11,344.871,288.485,19,24.838
369,11,346.054,289.203,20,24.469
403,11,346.067,289.03,21,24.694
386,11,345.093,288.664,22,24.755
420,11,344.584,288.747,23,24.728
454,11,344.917,288.652,24,24.698
437,11,344.42,288.319,25,24.493
471,11,345.184,288.455,26,24.576
488,11,345.174,287.421,27,24.583
522,11,346.04,287.782,28,24.78
505,11,346.907,287.138,29,24.813
539,11,347.05,287.207,30,24.807
556,11,347.556,286.246,31,24.649
573,11,347.304,285.49,32,24.707
590,11,347.327,285.183,33,25.192
607,11,347.067,285.796,34,24.799
624,11,345.822,286.169,35,24.676
641,11,346.452,285.898,36,24.179
658,11,345.993,286.547,37,24.492
675,11,346.361,285.808,38,25.102
692,11,347.013,286.073,39,24.56
709,11,345.835,287.043,40,24.475
726,11,345.912,287.563,41,24.766
743,11,345.411,286.768,42,24.512
760,11,345.095,286.954,43,24.411
777,11,344.646,286.963,44,24.668
794,11,345.018,286.202,45,30.471
811,11,345.688,286.151,46,24.842
828,11,345.518,285.875,47,24.721
845,11,344.897,286.321,48,25.068
862,11,345.396,286.323,49,24.57
879,11,345.265,286.565,50,24.747
913,11,345.133,286.019,51,25.311
896,11,344.804,286.714,52,24.653
930,11,345.16,286.396,53,16.945
981,11,345.886,286.861,54,24.821
947,11,345.634,287.437,55,24.65
964,11,345.715,287.829,56,24.826
998,11,345.389,287.645,57,24.637
1032,11,345.369,287.078,58,24.741
1049,11,346.138,286.335,59,24.088
1015,11,346.1,286.259,60,24.809
1066,11,345.102,286.747,61,24.879
1083,11,345.256,287.994,62,24.799
1101,11,345.998,287.476,63,24.666
1118,11,346.012,287.353,64,24.779
1135,11,345.197,286.437,65,24.584
1152,11,345.44,286.44,66,24.746
1187,11,345.91,287.113,67,24.847
1170,11,346.093,287.694,68,24.927
1205,11,345.888,286.802,69,24.852
1223,11,345.355,286.503,70,24.875
1274,11,345.314,286.965,71,24.911
1257,11,345.616,285.915,72,24.758
1240,11,346.385,285.176,73,24.554
1292,11,345.879,284.752,74,24.769
1309,11,345.364,285.068,75,24.744
1345,11,344.623,285.776,76,24.884
1327,11,345.359,285.549,77,24.802
1363,11,345.179,286.213,78,24.747
1382,11,345.321,286.2,79,24.695
1417,11,345.119,286.86,80,24.918
1399,11,344.916,287.844,81,24.862
1434,11,345.256,287.835,82,24.762
1468,11,344.894,286.997,83,24.901
1451,11,344.736,286.239,84,24.878
1502,11,345.147,286.208,85,24.698
1485,11,345.771,286.244,86,24.833
1519,11,345.056,287.309,87,24.484
1536,11,344.962,287.095,88,24.735
1553,11,344.61,287.372,89,24.727
1570,11,344.346,287.709,90,24.586
1587,11,345.194,287.999,91,24.741
1604,11,344.658,287.979,92,24.858
1638,11,344.489,288.414,93,24.29
1621,11,344.599,287.986,94,24.838
1672,11,344.142,288.185,95,24.809
1655,11,343.972,288.691,96,24.891
1689,11,344.467,289.514,97,24.92
1706,11,343.429,290.03,98,24.618
1723,11,343.557,289.44,99,24.714
1757,11,343.824,289.325,100,24.842
1740,11,343.913,288.551,101,24.723
1774,11,343.796,289.081,102,24.776
1791,11,343.857,288.847,103,24.852
1808,11,344.811,288.383,104,24.751
1825,11,344.182,287.943,105,24.558
1842,11,344.703,287.953,106,24.684
1859,11,344.45,288.918,107,24.706
1894,11,344.499,288.593,108,24.858
1876,11,344.272,288.527,109,24.941
1911,11,344.363,288.163,110,24.58
1929,11,343.77,288.834,111,24.642
1964,11,343.647,289.059,112,24.83
1947,11,344.008,288.133,113,24.672
1981,11,343.967,288.319,114,24.415
1998,11,344.086,287.994,115,24.619
2034,11,344.029,288.33,116,24.379
2016,11,344.477,288.613,117,24.703
2052,11,344.365,288.979,118,24.639
2103,11,344.485,288.932,119,24.482
2069,11,344.58,287.648,120,24.964
2086,11,345.155,287.548,121,24.842
2120,11,345.319,287.607,122,24.779
2154,11,344.575,287.962,123,24.737
2137,11,344.889,287.875,124,24.864
2171,11,344.437,288.071,125,24.45
2188,11,343.7,287.946,126,24.716
2205,11,344.479,287.675,127,24.72
2239,11,345.067,287.663,128,24.722
2222,11,344.68,286.936,129,24.79
2292,11,344.875,286.624,130,24.846
2256,11,344.084,286.69,131,24.727
2310,11,344.491,286.533,132,24.864
2273,11,344.097,286.934,133,24.7
2327,11,344.012,287.566,134,24.728
2361,11,344.729,288.025,135,24.767
2344,11,344.597,287.872,136,24.865
2378,11,345.6,288.076,137,24.84
2396,11,345.351,288.059,138,24.629
2432,11,345.123,287.651,139,24.875
2414,11,344.538,288.221,140,24.745
2469,11,344.764,288.208,141,24.703
2450,11,345.218,288.355,142,24.701
2486,11,345.248,287.951,143,24.735
