ID,TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,ESTIMATED_DIAMETER
72,4,247.233,129.369,0,24.044
21,4,247.602,129.748,1,23.867
55,4,248.152,130.063,2,23.94
39,4,247.209,129.852,3,23.895
89,4,247.18,129.72,4,23.788
123,4,247.18,131.014,5,23.944
106,4,246.802,132.018,6,23.86
140,4,246.917,131.936,7,23.944
174,4,246.918,132.335,8,23.701
157,4,246.624,132.847,9,23.77
191,4,247.068,133.978,10,23.985
208,4,246.308,134.403,11,23.95
225,4,246.777,134.36,12,23.702
242,4,246.666,134.423,13,23.52
259,4,247.555,135.456,14,23.692
276,4,247.838,135.949,15,23.07
311,4,247.848,135.577,16,23.418
293,4,248.552,135.414,17,23.599
328,4,248.825,134.799,18,23.769
345,4,248.618,135.589,19,23.431
362,4,248.18,135.85,20,23.889
396,4,248.228,135.963,21,23.877
379,4,248.507,136.138,22,23.503
413,4,248.513,136.762,23,22.834
447,4,249.544,136.54,24,23.597
430,4,249.149,136.044,25,23.778
464,4,249.048,135.319,26,23.915
481,4,248.321,135.808,27,23.853
515,4,247.22,135.687,28,23.876
498,4,247.17,135.966,29,23.884
532,4,247.819,136.714,30,23.597
549,4,248.111,135.855,31,23.833
566,4,248.08,135.565,32,23.718
583,4,248.394,135.594,33,23.959
600,4,248.172,135.77,34,23.793
617,4,248.446,136.306,35,24.04
634,4,248.11,137.157,36,24.039
651,4,247.479,137.234,37,23.923
668,4,247.702,137.032,38,24.076
685,4,247.342,137.364,39,24.002
702,4,247.037,137.194,40,24.084
719,4,247.011,137.351,41,23.967
737,4,246.593,138.161,42,23.877
754,4,246.911,138.163,43,23.884
771,4,246.81,137.909,44,23.687
788,4,247.007,137.472,45,23.878
805,4,247.342,137.567,46,23.694
821,4,248.437,137.972,47,23.926
839,4,247.463,137.888,48,23.78
855,4,246.663,137.692,49,23.419
872,4,246.707,136.447,50,23.59
906,4,247.276,136.34,51,23.812
889,4,248.238,135.852,52,23.915
923,4,247.791,136.567,53,23.329
974,4,247.645,135.888,54,23.77
940,4,247.79,135.876,55,24.056
957,4,247.357,136.059,56,23.897
991,4,247.31,135.948,57,23.812
1025,4,247.527,136.634,58,23.851
1042,4,247.74,136.445,59,23.983
1008,4,247.14,137.127,60,23.988
1059,4,247.079,136.787,61,23.854
1077,4,247.366,137.32,62,23.929
1094,4,247.759,137.529,63,24.006
1112,4,247.26,137.67,64,23.821
1129,4,247.601,137.618,65,23.845
1146,4,247.459,138.187,66,23.958
1181,4,247.449,138.593,67,23.88
1164,4,247.727,138.148,68,23.886
1198,4,248.049,137.703,69,23.911
1217,4,250.067,137.554,70,23.988
1268,4,250.42,136.934,71,23.84
1251,4,250.104,137.048,72,23.888
1234,4,249.98,137.791,73,23.853
1286,4,249.296,137.834,74,23.895
1303,4,247.42,137.47,75,24.036
1339,4,247.936,139.011,76,23.854
1321,4,247.62,138.834,77,23.768
1357,4,247.734,138.903,78,23.786
1375,4,247.485,139.205,79,24.028
1411,4,246.989,141.314,80,23.855
1393,4,246.523,141.047,81,23.685
1428,4,245.543,139.057,82,23.89
1462,4,246.211,139.23,83,23.863
1445,4,246.986,138.354,84,23.978
1496,4,246.462,138.825,85,23.761
1479,4,245.784,138.43,86,23.918
1513,4,245.684,139.929,87,23.871
1530,4,245.204,140.801,88,23.886
1547,4,247.07,139.949,89,23.857
1564,4,247.493,139.061,90,23.906
1581,4,247.366,139.017,91,23.995
1598,4,246.649,139.316,92,23.622
1632,4,244.348,139.461,93,24
1615,4,242.807,138.36,94,23.988
1666,4,242.979,137.551,95,23.827
1649,4,243.978,137.881,96,23.874
1683,4,244.066,137.449,97,24.052
1700,4,242.789,138.253,98,24.064
1717,4,242.016,138.784,99,23.982
1751,4,242.389,138.388,100,24.109
1734,4,242.236,137.755,101,23.969
1768,4,242.64,138.166,102,23.923
1785,4,242.574,138.024,103,24.03
1802,4,242.641,137.905,104,24.064
1819,4,242.787,137.816,105,23.958
1836,4,242.268,138.286,106,24.058
1853,4,242.134,137.896,107,24.045
1888,4,242.59,137.767,108,23.908
1870,4,242.912,137.636,109,23.862
1905,4,242.781,138.437,110,24.019
1922,4,243.283,138.561,111,23.853
1958,4,243.536,138.214,112,23.828
1940,4,243.904,136.434,113,24.04
1975,4,243.351,136.395,114,24.019
1992,4,245.177,136.73,115,24.009
2027,4,244.238,135.853,116,24.01
2009,4,244.417,136.01,117,23.922
2046,4,246.008,135.045,118,23.828
2097,4,245.788,134.484,119,23.888
2063,4,245.623,134.524,120,23.739
2080,4,246.229,135.248,121,24.064
2114,4,246.383,134.769,122,23.96
2147,4,245.749,135.249,123,23.947
2130,4,244.719,135.619,124,23.985
2164,4,244.149,134.803,125,23.864
2182,4,244.148,134.89,126,23.945
2198,4,243.579,133.423,127,23.439
2232,4,243.244,133.103,128,23.965
2215,4,244.148,133.131,129,24.049
2285,4,244.678,133.29,130,23.807
2249,4,245.058,132.873,131,23.95
2303,4,245.041,132.655,132,24.081
2266,4,245.241,133.038,133,23.945
2320,4,244.286,135.081,134,23.91
2354,4,244.225,134.977,135,23.857
2338,4,244.797,136.06,136,23.728
2372,4,244.909,136.416,137,23.717
2390,4,244.263,137.838,138,23.888
2426,4,244.077,137.817,139,23.823
2408,4,244.019,138.136,140,23.901
2463,4,243.814,137.519,141,24.153
2444,4,244.162,137.728,142,23.954
2480,4,244.803,138.012,143,24.211
2498,4,245.134,137.82,144,24.178
2515,4,245.637,138.153,145,23.992
2532,4,245.272,137.737,146,24.081
2549,4,245.046,138.326,147,24.009
2566,4,244.571,137.811,148,23.967
2583,4,244.572,136.952,149,23.622
2600,4,244.033,137.16,150,23.928
2651,4,244.267,137.425,151,23.999
2634,4,245.874,136.579,152,23.895
2617,4,245.591,136.481,153,22.465
2668,4,244.408,136.319,154,23.985
2719,4,244.322,136.704,155,23.996
2685,4,244.168,136.085,156,24.085
2736,4,245.501,135.729,157,22.787
2702,4,246.789,135.125,158,23.947
2753,4,247.003,135.243,159,24.089
2787,4,246.018,135.516,160,23.847
2804,4,246.143,135.706,161,24.001
2770,4,245.86,135.996,162,22.592
2821,4,245.222,135.969,163,24.157
2838,4,247.121,135.87,164,23.702
2872,4,247.054,135.989,165,23.85
2855,4,248.049,136.15,166,23.817
2941,4,247.658,136.401,167,23.219
2923,4,247.052,136.163,168,23.748
2889,4,247.144,135.302,169,23.921
2906,4,247.941,135.716,170,24.147
2958,4,247.427,136.065,171,23.996
3012,4,247.214,134.934,172,23.92
2976,4,247.403,135.781,173,23.948
2994,4,247.621,135.45,174,23.891
3030,4,247.361,136.237,175,24.032
3048,4,247.025,136.177,176,23.824
3065,4,246.873,136.059,177,23.739
3083,4,246.862,135.738,178,24.03
3101,4,246.142,136.02,179,23.821
3120,4,245.823,136.143,180,23.804
3137,4,245.869,135.97,181,23.872
3154,4,246.044,135.82,182,23.929
3171,4,246.895,136.101,183,23.765
3188,4,246.91,136.554,184,23.678
3205,4,246.749,136.278,185,23.817
3223,4,247.022,136.316,186,23.948
3240,4,247.009,136.225,187,23.948
3257,4,247.376,136.159,188,24.024
3274,4,248.055,135.181,189,23.998
3292,4,247.785,135.873,190,24.051
3310,4,248.201,136.033,191,24.209
3327,4,248.343,137.15,192,23.933
3344,4,248.452,136.971,193,24.041
3395,4,248.387,136.207,194,23.96
3378,4,247.845,137.441,195,23.876
3361,4,247.981,137.833,196,24.093
3412,4,247.691,137.781,197,24.245
3446,4,246.851,137.391,198,23.901
3429,4,247.008,136.248,199,23.903
3463,4,246.572,136.116,200,23.582
3481,4,246.167,135.626,201,23.965
3516,4,246.116,136.03,202,23.959
3499,4,246.002,136.112,203,23.915
3533,4,245.728,135.588,204,23.891
3550,4,245.725,135.816,205,23.927
3567,4,246.175,135.445,206,23.961
3603,4,245.467,134.505,207,23.895
3585,4,246.093,134.608,208,23.96
3622,4,246.494,134.65,209,23.901
3638,4,246.894,133.99,210,23.974
3672,4,245.842,133.974,211,24.02
3655,4,245.113,133.332,212,24.045
3689,4,245.115,133.664,213,24.064
3707,4,244.59,134.656,214,23.671
3742,4,243.9,135.551,215,23.91
3724,4,243.53,134.748,216,23.975
3759,4,242.162,135.085,217,24.035
3776,4,242.656,134.889,218,24.039
3793,4,243.319,134.86,219,23.934
3826,4,242.929,134.507,220,23.843
3809,4,242.785,134.701,221,23.929
3843,4,242.553,135.291,222,23.929
3860,4,242.175,135.322,223,24.011
3894,4,242.223,135.398,224,23.955
3877,4,242.761,134.992,225,23.806
3911,4,243.39,135.096,226,24.064
3945,4,244.065,134.277,227,23.991
3928,4,244.386,134.918,228,24.01
3962,4,244.369,135.469,229,23.939
3996,4,245.89,135.953,230,23.991
4013,4,246.151,136.134,231,23.977
3980,4,246.092,137.317,232,23.976
4031,4,245.772,137.585,233,23.962
4082,4,245.41,137.525,234,23.851
4065,4,245.779,137.685,235,23.922
4048,4,244.738,138.529,236,23.745
4098,4,244.488,137.986,237,23.971
4115,4,244.723,137.459,238,23.9
4132,4,244.806,136.267,239,23.976
4149,4,244.047,136.025,240,23.923
4166,4,243.508,135.748,241,24.017
4200,4,243.075,136.231,242,23.947
4183,4,243.377,136.141,243,23.92
4234,4,244.154,136.152,244,23.919
4217,4,244.721,136.358,245,23.668
4268,4,244.708,136.377,246,23.851
4285,4,243.588,136.488,247,23.84
4251,4,244.128,136.636,248,23.929
4302,4,245.483,136,249,23.97
4320,4,244.986,136.716,250,23.972
4338,4,246.257,136.32,251,23.957
4356,4,245.835,137.105,252,23.816
4373,4,245.583,136.631,253,23.479
4407,4,245.562,136.726,254,22.606
4390,4,246.142,136.767,255,23.945
4425,4,247.2,135.938,256,23.926
4443,4,246.682,135.303,257,22.585
4461,4,246.711,133.544,258,24.025
4498,4,246.783,133.547,259,23.8
4479,4,245.82,133.239,260,23.889
4518,4,246.401,134.369,261,24.168
4554,4,245.554,133.876,262,23.904
4536,4,246.506,134.622,263,23.385
4572,4,247.083,134.386,264,23.878
4590,4,246.684,133.547,265,23.896
4626,4,248.307,133.128,266,24.14
4608,4,247.204,133.22,267,24.121
4644,4,246.616,133.098,268,23.61
4662,4,244.958,132.996,269,23.937
4680,4,244.367,133.152,270,24.009
4697,4,245.254,132.801,271,23.95
4715,4,244.716,133.717,272,24.149
4733,4,245.017,133.145,273,24.111
4751,4,245.338,132.545,274,23.998
4769,4,244.252,132.892,275,24.026
4786,4,244.376,132.724,276,24.022
4822,4,243.997,132.331,277,23.731
4804,4,243.706,132.359,278,23.506
4840,4,244.935,132.279,279,23.831
4874,4,244.33,132.511,280,23.977
4857,4,244.182,133.076,281,24.134
4891,4,245.327,133.535,282,24.252
4908,4,245.314,134.283,283,24.101
4925,4,244.948,135.224,284,23.901
4942,4,246.074,135.352,285,24.092
4960,4,247.006,135.162,286,24.071
4980,4,247.564,134.776,287,23.728
4997,4,247.25,134.861,288,23.876
5014,4,248.479,133.657,289,24.119
5031,4,247.992,134.38,290,23.976
5048,4,247.182,135.536,291,24.038
5065,4,246.93,136.181,292,23.796
5086,4,247.522,136.504,293,23.156
5087,4,248.069,136.119,294,24.071
5116,4,248.441,135.923,295,23.935
5133,4,248.484,136.356,296,24.013
5168,4,248.557,137.11,297,23.4
5151,4,249.092,136.024,298,23.83
5202,4,249.052,135.691,299,23.696
5185,4,249.889,134.69,300,23.847
5219,4,250.194,135.72,301,23.802
5236,4,249.703,135.642,302,23.986
5253,4,250.381,135.776,303,23.865
5270,4,250.619,135.88,304,23.885
5304,4,249.586,136.484,305,23.578
5287,4,249.366,137.654,306,24.139
5321,4,249.702,137.613,307,24.055
5376,4,249.591,137.628,308,23.729
5377,4,249.031,137.498,309,23.929
5338,4,248.52,137.771,310,23.79
5355,4,248.3,136.8,311,23.892
5457,4,247.409,137.444,312,24.074
5440,4,248.065,135.583,313,23.964
5423,4,246.81,135.678,314,23.944
5406,4,246.821,135.001,315,23.722
5474,4,247.841,135.874,316,23.941
5491,4,247.676,137.033,317,23.65
5508,4,247.965,135.513,318,23.774
5525,4,247.381,135.307,319,24.004
5542,4,247.218,133.483,320,23.942
5577,4,246.659,133.165,321,23.818
5559,4,247.096,133.637,322,24.019
5594,4,246.808,132.923,323,23.996
5613,4,245.95,132.476,324,23.888
5650,4,246.071,132.096,325,24.06
5631,4,245.53,132.308,326,23.978
5669,4,244.549,133.683,327,24.324
5687,4,245.246,133.248,328,24.237
5742,4,244.378,133.15,329,24.125
5761,4,244.361,134.167,330,24.147
5705,4,244.783,135.269,331,24.164
5724,4,244.791,135.331,332,23.982
5780,4,245.832,135.519,333,24.041
5798,4,244.791,135.663,334,24.097
5816,4,244.561,136.497,335,23.716
5834,4,244.041,137.15,336,23.973
5854,4,244.227,137.674,337,23.964
5872,4,244.247,137.457,338,24.116
5931,4,244.162,137.682,339,23.881
5891,4,245.7,136.68,340,24.317
5911,4,245.788,136.488,341,23.665
5950,4,246.51,136.846,342,23.979
5968,4,246.352,137.563,343,24.213
5985,4,245.949,137.452,344,23.973
6002,4,244.821,137.182,345,23.472
6019,4,244.822,136.994,346,23.987
6038,4,244.67,137.344,347,23.738
6091,4,244.585,137.958,348,24.231
6057,4,244.541,138.394,349,23.833
6074,4,243.757,138.711,350,23.952
6109,4,244.449,138.754,351,24.173
6126,4,243.909,139.575,352,23.103
6144,4,244.27,140.19,353,23.535
6161,4,243.486,140.366,354,24.044
6196,4,243.352,140.862,355,23.987
6178,4,243.277,140.176,356,24.043
6213,4,243.618,140.586,357,24.192
6232,4,243.931,140.918,358,24.124
6251,4,243.185,139.937,359,23.916
6270,4,243.72,140.239,360,24.436
6287,4,244.521,140.13,361,24.388
6338,4,244.874,140.772,362,24.162
6321,4,244.212,140.813,363,23.959
6304,4,244.595,140.807,364,23.924
6355,4,243.849,141.271,365,23.884
6393,4,244.073,140.572,366,23.968
6374,4,244.254,140.898,367,23.79
6410,4,244.348,141.046,368,24.085
6427,4,245.466,141.141,369,24.139
6461,4,245.28,141.487,370,24.066
6444,4,245.311,140.443,371,24.014
6479,4,244.331,140.551,372,24.015
6497,4,243.286,140.224,373,23.847
6514,4,242.86,140.414,374,24.329
6531,4,242.805,140.293,375,24.113
6568,4,243.222,140.411,376,23.987
6549,4,242.254,140.378,377,24.047
6622,4,242.079,140.605,378,24.021
6586,4,241.834,140.066,379,23.855
6604,4,242.009,139.379,380,24.154
6640,4,241.438,139.409,381,24.209
6659,4,240.739,139.632,382,23.97
6695,4,240.421,140.625,383,23.942
6677,4,240.866,141.067,384,24.044
6730,4,240.94,140.921,385,23.843
6712,4,240.894,140.574,386,23.934
6748,4,239.922,141.148,387,23.592
6767,4,240.193,141.662,388,23.93
6785,4,239.733,141.573,389,23.105
6803,4,240.116,141.303,390,23.765
6840,4,240.337,141.813,391,24.033
6821,4,239.512,142.036,392,24.516
6879,4,238.714,143.089,393,22.748
6860,4,237.999,143.166,394,23.323
6919,4,237.235,142.385,395,23.985
6898,4,236.389,141.938,396,24.075
6957,4,237.111,143.164,397,23.166
6938,4,237.034,142.694,398,23.829
6974,4,237.536,143.681,399,24.244
6993,4,237.449,143.797,400,24.208
7010,4,236.489,143.38,401,23.757
7028,4,236.982,143.999,402,23.869
7066,4,235.808,144.217,403,23.811
7046,4,235.255,143.961,404,23.773
7103,4,234.49,143.695,405,24.359
7084,4,234.572,144.808,406,24.771
7123,4,235.016,144.958,407,23.327
7143,4,234.501,145.499,408,22.987
7163,4,234.501,146.859,409,24.364
7217,4,233.925,146.316,410,23.002
7181,4,233.7,145.739,411,23.004
7199,4,233.994,145.948,412,23.95
7253,4,234.079,146.684,413,24.155
7235,4,234.488,147.302,414,23.901
7290,4,234.527,148.4,415,23.237
7271,4,234.865,147.612,416,24.246
7328,4,235.165,148.503,417,24.181
7310,4,235.176,149.339,418,23.72
7364,4,233.861,148.807,419,24.254
7346,4,233.978,149.291,420,23.615
7382,4,234.19,149.722,421,23.974
7401,4,233.944,149.496,422,22.721
7437,4,233.721,150.08,423,23.184
7419,4,232.992,150.518,424,24.08
7456,4,233.968,149.974,425,24.149
7493,4,234.306,150.724,426,24.116
7512,4,234.64,150.534,427,23.832
7475,4,234.722,149.694,428,23.805
7530,4,235.122,148.8,429,24.004
7584,4,234.923,148.409,430,23.64
7548,4,236.301,148.58,431,24.256
7566,4,237.081,149.329,432,23.502
7602,4,237.045,149.849,433,23.961
7621,4,236.847,149.797,434,24.211
7639,4,236.416,150.178,435,24.137
7657,4,236.246,150.122,436,24.234
7675,4,236.265,150.66,437,23.986
7693,4,236.189,150.029,438,24.116
7712,4,235.252,149.393,439,24.081
7748,4,234.865,149.969,440,23.945
7730,4,234.504,150.77,441,24.138
7766,4,234.939,149.865,442,23.909
