Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,435,0,0,0,0,0,434,0,434,16.459,0,404.696,242.768,0,0.764,9.711,0.025,0.664,0.667,2.757,3.158,2.104,2.786,0.197
Track_1,1,146,0,0,0,0,0,145,0,145,7.026,1,13.242,243.317,0,0.509,1.345,0.006,0.489,0.315,2.036,2.292,1.750,2.040,0.113
Track_2,2,1890,0,0,0,0,0,1889,0,1889,32.947,2,80.244,237.686,0,0.586,1.845,0.008,0.538,0.339,2.671,3.123,2.229,2.653,0.170
Track_3,3,1890,0,0,0,0,0,1889,0,1889,23.549,3,249.332,271.110,0,0.675,3.120,0.008,0.619,0.410,3.607,4.381,2.924,3.557,0.289
Track_4,4,966,0,0,0,0,0,965,0,965,24.202,4,15.553,252.658,0,0.452,1.530,0.002,0.420,0.310,2.127,2.442,1.760,2.149,0.151
Track_5,5,1890,0,0,0,0,0,1889,0,1889,29.210,5,296.104,262.244,0,0.588,2.091,0.003,0.587,0.348,3.251,3.823,2.695,3.245,0.230
Track_6,6,1890,0,0,0,0,0,1889,0,1889,3.738,6,437.402,271.295,0,0.535,1.648,0.009,0.508,0.290,4.307,4.916,3.809,4.318,0.188
Track_7,7,513,0,0,0,0,0,512,0,512,15.025,7,217.333,283.052,0,0.714,10.465,0.028,0.629,0.681,3.595,3.992,2.690,3.584,0.287
Track_8,8,3,0,0,0,0,0,2,0,2,0.000,8,0.000,293.000,0,0.000,0.000,0.000,0.000,0.000,1.849,1.947,1.746,1.856,0.082
Track_9,9,1890,0,0,0,0,0,1889,0,1889,34.200,9,62.105,276.103,0,0.564,2.323,0.004,0.533,0.328,3.854,4.398,3.376,3.880,0.241
Track_10,10,1890,0,0,0,0,0,1889,0,1889,4.081,10,385.220,302.696,0,0.547,1.995,0.007,0.507,0.305,4.068,4.604,3.521,4.126,0.228
Track_11,11,1890,0,0,0,0,0,1889,0,1889,0.971,11,464.318,303.465,0,0.493,1.717,0.009,0.461,0.288,3.284,4.017,2.566,3.285,0.212
Track_12,12,1890,0,0,0,0,0,1889,0,1889,34.742,12,107.344,288.204,0,0.585,1.783,0.017,0.549,0.316,3.675,4.029,3.207,3.674,0.165
