Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_T
ID385,385,83,4.274,236.066,126.668,1
ID219,219,83,4.274,236.059,127.715,2
ID554,554,83,4.297,235.776,127.749,3
ID720,720,83,4.295,235.573,128.334,4
ID1054,1054,83,4.331,235.373,128.414,5
ID1218,1218,83,4.326,235.427,128.659,6
ID889,889,83,4.307,235.592,128.196,7
ID1382,1382,83,4.287,235.384,128.011,8
ID1713,1713,83,4.261,235.381,128.131,9
ID1551,1551,83,4.262,235.243,128.734,10
ID1876,1876,83,4.272,235.326,128.643,11
ID2041,2041,83,4.289,235.363,128.633,12
ID2204,2204,83,4.265,236.809,128.169,13
ID2369,2369,83,4.306,236.974,128.288,14
ID2696,2696,83,4.281,236.432,126.589,15
ID2532,2532,83,4.305,235.897,126.653,16
ID2861,2861,83,4.29,235.955,125.394,17
ID3029,3029,83,4.262,235.864,124.928,18
ID3193,3193,83,4.265,235.954,124.708,19
ID3436,3436,83,4.365,236.562,124.783,20
ID3383,3383,83,4.384,237.289,124.793,21
ID3695,3695,83,4.368,236.557,124.569,22
ID3859,3859,83,4.355,237.114,125.671,23
ID4025,4025,83,4.385,237.341,125.681,24
ID4187,4187,83,4.451,238.419,125.452,25
ID4349,4349,83,4.469,238.468,125.51,26
ID4511,4511,83,4.419,237.729,124.584,27
ID4678,4678,83,4.478,237.871,125.435,28
ID4844,4844,83,4.477,238.105,125.462,29
ID5008,5008,83,4.457,237.954,126.317,30
ID5172,5172,83,4.462,238.412,126.271,31
ID5336,5336,83,4.458,238.422,126.321,32
ID5503,5503,83,4.419,238.234,126.126,33
ID5666,5666,83,4.441,237.29,125.933,34
ID5826,5826,83,4.475,237.464,125.813,35
ID6311,6311,83,4.432,236.632,126.817,36
ID5988,5988,83,4.437,236.657,126.77,37
ID6150,6150,83,4.454,237.034,126.666,38
ID6471,6471,83,4.449,236.776,127.286,39
ID6958,6958,83,4.408,237.062,127.072,40
ID6632,6632,83,4.344,236.706,126.491,41
ID6792,6792,83,4.363,236.807,125.806,42
ID7118,7118,83,4.328,235.946,126.046,43
ID7277,7277,83,4.37,234.749,126.081,44
ID7431,7431,83,4.214,234.378,126.36,45
ID7583,7583,83,4.246,233.684,127.2,46
ID7738,7738,83,4.289,233.906,127.557,47
ID7892,7892,83,4.299,234.508,127.151,48
ID8049,8049,83,4.27,234.371,126.435,49
ID8208,8208,83,4.3,233.32,127.635,50
ID8369,8369,83,4.304,233.383,127.549,51
ID8527,8527,83,4.251,234.213,127.376,52
ID8686,8686,83,4.286,234.49,126.256,53
ID8847,8847,83,4.27,234.56,125.262,54
ID9171,9171,83,4.243,234.637,124.583,55
