x1,y1,x2,y2
465,274,512,268
476,236,512,268
465,274,476,236
475,290,512,268
465,274,475,290
423,292,465,274
423,292,475,290
723,56,735,8
685,29,723,56
685,29,735,8
714,72,723,56
723,56,751,75
714,72,751,75
723,56,744,43
744,43,751,75
685,29,714,72
735,8,744,43
368,40,373,92
373,92,395,73
368,40,395,73
408,46,456,69
395,73,408,46
395,73,456,69
430,103,456,69
395,73,430,103
373,92,430,103
368,40,408,46
527,170,580,198
523,188,580,198
523,188,527,170
476,236,523,188
476,236,534,215
523,188,534,215
534,215,580,198
473,176,476,236
473,176,523,188
473,176,527,170
206,320,236,355
188,354,236,355
188,354,206,320
195,260,240,290
206,320,240,290
195,260,206,320
236,355,240,290
159,309,206,320
159,309,188,354
159,309,195,260
187,196,203,172
169,156,203,172
169,156,187,196
123,163,130,125
130,125,169,156
123,163,169,156
130,125,184,106
169,156,184,106
651,246,700,255
651,246,683,220
683,220,700,255
700,255,730,230
683,220,730,230
651,246,656,211
656,211,683,220
656,211,693,167
683,220,693,167
751,75,813,67
771,115,813,67
751,75,771,115
452,537,715,528
715,528,822,539
452,537,822,539
672,524,715,528
714,499,715,528
672,524,714,499
715,528,744,497
714,499,744,497
632,523,715,528
452,537,632,523
632,523,672,524
947,344,951,301
917,339,947,344
917,339,951,301
934,391,947,344
917,339,934,391
184,216,195,260
184,216,228,233
195,260,228,233
184,216,187,196
184,216,212,200
187,196,212,200
212,200,228,233
508,0,546,9
542,36,546,9
508,0,542,36
500,481,527,450
483,436,527,450
483,436,500,481
546,9,600,0
508,0,600,0
546,9,588,8
588,8,600,0
517,403,527,450
483,436,517,403
546,9,563,35
542,36,563,35
563,35,577,32
546,9,577,32
588,8,629,29
577,32,588,8
577,32,629,29
563,35,564,85
564,85,577,32
564,85,612,79
577,32,612,79
612,79,629,29
326,221,356,177
302,177,356,177
302,177,326,221
0,496,39,491
15,468,39,491
0,496,15,468
349,261,379,221
326,221,349,261
326,221,379,221
39,491,48,431
15,468,48,431
356,177,379,221
0,427,0,496
0,427,15,468
282,231,326,221
282,231,302,177
0,427,48,431
916,188,940,243
916,188,956,171
940,243,956,171
916,188,944,126
944,126,956,171
940,243,955,264
955,264,956,171
715,528,792,524
792,524,822,539
744,497,792,524
822,539,836,487
792,524,836,487
744,497,788,501
788,501,792,524
788,501,836,487
312,371,345,425
300,439,345,425
300,439,312,371
290,475,325,477
300,439,325,477
290,475,300,439
861,530,883,484
861,530,903,533
883,484,903,533
260,444,265,409
265,409,300,439
260,444,300,439
265,409,312,371
260,444,290,475
325,477,345,425
164,240,184,216
164,240,195,260
147,227,184,216
147,227,164,240
67,167,123,163
67,167,106,193
106,193,123,163
55,220,67,167
55,220,106,193
86,250,106,193
55,220,86,250
86,250,147,227
106,193,147,227
184,106,208,127
169,156,208,127
203,172,208,127
203,172,252,131
208,127,252,131
293,277,328,313
286,327,293,277
286,327,328,313
61,0,70,25
42,0,61,0
42,0,70,25
61,0,166,8
61,0,112,7
112,7,166,8
240,290,293,277
240,290,286,327
240,290,282,231
282,231,293,277
70,25,112,7
430,103,463,128
434,146,463,128
430,103,434,146
463,128,483,92
430,103,483,92
463,128,473,176
434,146,473,176
199,443,231,423
231,423,260,444
199,443,260,444
231,423,265,409
204,396,231,423
199,443,204,396
379,221,428,198
379,221,419,247
419,247,428,198
796,303,833,346
794,349,796,303
794,349,833,346
794,349,813,413
769,381,794,349
769,381,813,413
752,318,796,303
752,318,794,349
813,413,833,346
319,265,349,261
319,265,326,221
293,277,319,265
282,231,319,265
328,313,349,261
319,265,328,313
53,136,72,103
53,136,96,138
72,103,96,138
23,104,53,136
20,156,23,104
20,156,53,136
53,136,67,167
20,156,67,167
23,104,72,103
67,167,96,138
725,188,748,152
693,167,748,152
693,167,725,188
748,152,750,198
725,188,750,198
683,220,725,188
725,188,730,230
730,230,750,198
735,8,814,0
788,23,814,0
735,8,788,23
512,268,567,252
512,268,558,303
558,303,567,252
600,0,814,0
600,0,735,8
748,237,778,229
748,237,750,198
750,198,778,229
778,229,791,162
750,198,791,162
780,271,818,262
778,229,780,271
778,229,818,262
818,262,824,211
778,229,824,211
748,237,780,271
791,162,824,211
832,139,832,187
791,162,832,187
791,162,832,139
832,187,867,174
824,211,832,187
824,211,867,174
252,131,268,60
252,131,292,122
268,60,292,122
832,139,867,174
268,60,315,68
292,122,315,68
252,131,302,177
292,122,302,177
0,293,21,254
0,293,13,223
13,223,21,254
0,293,81,295
21,254,81,295
59,341,81,295
0,293,59,341
0,293,1,64
1,64,13,223
0,293,1,365
1,365,59,341
527,450,572,451
527,450,546,487
546,487,572,451
