x1,y1,x2,y2
401,193,458,170
401,193,446,221
446,221,458,170
266,120,309,94
272,69,309,94
266,120,272,69
309,94,314,139
266,120,314,139
336,305,340,245
288,260,336,305
288,260,340,245
244,280,255,216
244,280,288,260
255,216,288,260
292,323,336,305
288,260,292,323
36,490,100,479
36,490,146,485
100,479,146,485
25,0,65,16
6,33,65,16
6,33,25,0
65,16,209,0
25,0,209,0
342,0,358,61
342,0,395,22
358,61,395,22
6,33,30,67
1,109,30,67
1,109,6,33
313,487,335,451
291,455,313,487
291,455,335,451
313,487,387,483
335,451,387,483
458,170,475,101
454,128,475,101
454,128,458,170
254,1,272,69
254,1,309,48
272,69,309,48
309,94,358,61
309,48,309,94
309,48,358,61
314,139,354,108
309,94,354,108
314,139,361,151
354,108,361,151
354,108,358,61
354,108,394,121
361,151,394,121
231,468,269,491
231,468,291,455
269,491,291,455
269,491,313,487
269,491,387,483
85,429,100,479
58,467,85,429
58,467,100,479
28,430,85,429
28,430,58,467
36,490,58,467
28,430,36,490
335,451,403,440
335,451,373,409
373,409,403,440
403,440,428,422
373,409,428,422
387,483,403,440
18,353,81,332
58,389,81,332
18,353,58,389
33,296,81,332
18,353,33,296
64,270,108,290
64,270,81,332
81,332,108,290
33,296,64,270
12,243,64,270
12,243,33,296
0,162,44,183
0,162,0,227
0,227,44,183
131,392,173,404
131,392,180,351
173,404,180,351
131,392,134,444
134,444,173,404
85,429,131,392
85,429,134,444
454,60,475,101
441,74,475,101
441,74,454,60
432,25,454,60
432,25,441,74
187,490,191,451
146,485,191,451
146,485,187,490
187,490,231,468
187,490,269,491
191,451,231,468
36,490,187,490
297,207,354,200
340,245,354,200
297,207,340,245
255,216,297,207
246,163,297,207
246,163,255,216
288,260,297,207
297,207,314,139
246,163,314,139
397,74,441,74
397,74,432,25
354,108,397,74
358,61,397,74
395,22,397,74
168,220,202,189
151,177,168,220
151,177,202,189
395,22,432,25
394,121,397,74
387,483,464,475
403,440,464,475
428,422,464,475
428,422,477,435
464,475,477,435
342,0,438,0
395,22,438,0
202,189,255,216
202,189,246,163
432,25,438,0
141,260,168,220
124,212,168,220
124,212,141,260
78,232,141,260
78,232,124,212
124,212,151,177
120,123,144,123
138,100,144,123
120,123,138,100
57,94,110,75
57,94,120,123
110,75,120,123
110,75,138,100
273,379,333,341
333,341,337,374
273,379,337,374
333,341,336,305
333,341,379,348
336,305,379,348
337,374,379,348
292,323,333,341
273,379,292,323
62,57,65,16
6,33,62,57
30,67,57,94
30,67,62,57
57,94,62,57
62,57,110,75
110,75,125,31
62,57,125,31
