x1,y1,x2,y2
480,413,530,400
518,445,530,400
480,413,518,445
530,400,566,435
518,445,566,435
0,150,28,117
0,150,45,167
28,117,45,167
16,396,70,386
25,442,70,386
16,396,25,442
0,366,70,386
0,366,16,396
599,278,614,323
561,300,599,278
561,300,614,323
546,480,596,472
566,435,596,472
546,480,566,435
518,445,546,480
754,437,790,489
754,437,834,413
790,489,834,413
754,437,764,381
764,381,834,413
578,388,628,369
614,419,628,369
578,388,614,419
530,400,578,388
566,435,578,388
566,435,614,419
535,349,578,388
530,400,535,349
420,255,426,199
380,190,426,199
380,190,420,255
329,165,380,190
333,215,380,190
329,165,333,215
877,482,899,526
858,528,899,526
858,528,877,482
570,519,596,472
570,519,625,519
596,472,625,519
546,480,570,519
493,374,530,400
480,413,493,374
439,402,480,413
439,402,493,374
493,374,535,349
439,402,448,353
448,353,493,374
448,353,500,317
493,374,500,317
500,317,535,349
252,320,293,371
238,378,293,371
238,378,252,320
293,371,332,417
273,427,293,371
273,427,332,417
293,371,345,360
332,417,345,360
293,371,306,316
252,320,306,316
238,378,273,427
306,316,345,360
821,532,899,526
821,532,858,528
459,293,466,245
466,245,511,264
459,293,511,264
459,293,500,317
500,317,511,264
402,297,448,353
448,353,459,293
402,297,459,293
420,255,466,245
420,255,459,293
402,297,420,255
28,117,82,71
28,117,80,129
80,129,82,71
45,167,80,129
891,121,949,126
891,121,918,187
918,187,949,126
221,130,258,84
258,84,275,127
221,130,275,127
258,84,300,81
275,127,300,81
281,29,300,81
258,84,281,29
196,69,258,84
196,69,221,130
403,47,422,105
422,105,445,66
403,47,445,66
82,71,136,51
101,34,136,51
82,71,101,34
384,539,400,498
400,498,447,507
384,539,447,507
356,506,400,498
356,506,384,539
426,199,455,159
413,155,426,199
413,155,455,159
380,190,413,155
329,110,329,165
275,127,329,110
275,127,329,165
300,81,329,110
847,142,891,121
844,99,891,121
844,99,847,142
887,72,891,121
844,99,887,72
13,539,44,506
1,500,44,506
1,500,13,539
345,360,390,347
351,306,390,347
345,360,351,306
306,316,351,306
390,347,402,297
351,306,402,297
306,316,312,261
312,261,351,306
300,81,319,49
319,49,329,110
281,29,319,49
259,511,302,463
302,463,307,509
259,511,307,509
217,527,253,473
217,527,259,511
253,473,259,511
