x1,y1,x2,y2
314,142,354,207
314,142,360,151
354,207,360,151
464,352,469,301
427,326,464,352
427,326,469,301
434,269,469,301
427,326,434,269
373,354,414,365
373,354,427,326
414,365,427,326
414,365,464,352
373,354,382,305
382,305,427,326
382,305,434,269
464,352,477,432
469,301,477,432
452,397,464,352
452,397,477,432
227,323,240,268
240,268,279,312
227,323,279,312
227,323,266,369
266,369,279,312
207,379,227,323
172,330,207,379
172,330,227,323
186,272,240,268
186,272,227,323
207,379,266,369
172,330,186,272
354,207,393,245
354,207,400,197
393,245,400,197
393,245,445,216
400,197,445,216
336,249,354,207
336,249,393,245
336,249,382,305
382,305,393,245
434,269,445,216
393,245,434,269
209,79,234,33
192,36,209,79
192,36,234,33
155,82,209,79
155,82,192,36
130,21,192,36
130,21,155,82
339,1,379,18
339,1,356,57
356,57,379,18
318,491,334,450
290,458,318,491
290,458,334,450
318,491,381,459
334,450,381,459
347,107,389,111
360,151,389,111
347,107,360,151
314,142,347,107
209,79,263,62
234,33,263,62
263,62,263,117
209,79,263,117
285,258,324,299
279,312,324,299
279,312,285,258
240,268,285,258
324,299,336,249
285,258,336,249
240,268,246,213
246,213,285,258
253,1,263,62
234,33,253,1
151,479,193,463
151,479,187,425
187,425,193,463
193,463,241,461
193,463,236,415
236,415,241,461
187,425,236,415
67,233,123,240
97,284,123,240
67,233,97,284
45,275,67,233
45,275,97,284
116,155,166,143
116,155,158,195
158,195,166,143
445,216,455,170
400,197,455,170
263,117,314,142
263,117,305,92
305,92,314,142
263,62,305,92
305,92,347,107
305,92,356,57
347,107,356,57
4,338,55,323
9,283,55,323
4,338,9,283
50,378,55,323
4,338,50,378
45,275,55,323
55,323,97,284
9,283,45,275
87,406,129,430
67,451,129,430
67,451,87,406
105,471,129,430
67,451,105,471
21,412,87,406
21,412,67,451
339,1,434,27
379,18,434,27
14,81,38,57
14,81,69,85
38,57,69,85
14,81,16,23
16,23,38,57
14,81,25,131
25,131,69,85
305,92,308,52
308,52,356,57
263,62,308,52
308,52,339,1
409,421,414,365
366,404,409,421
366,404,414,365
409,421,452,397
414,365,452,397
409,421,477,432
381,459,409,421
366,404,381,459
270,491,318,491
270,491,290,458
241,461,270,491
241,461,290,458
267,167,314,142
267,167,291,205
291,205,314,142
246,213,267,167
246,213,291,205
291,205,354,207
291,205,336,249
285,258,291,205
396,70,434,27
379,18,396,70
389,111,396,70
347,107,396,70
356,57,396,70
3,231,4,338
3,231,9,283
3,231,45,275
455,170,477,104
455,170,461,128
461,128,477,104
122,343,138,289
138,289,172,330
122,343,172,330
122,343,160,388
160,388,172,330
97,284,138,289
97,284,122,343
55,323,122,343
87,406,160,388
87,406,122,343
0,0,14,81
0,0,16,23
166,143,215,172
158,195,215,172
434,27,450,59
396,70,450,59
434,27,477,104
450,59,477,104
56,179,116,155
73,133,116,155
56,179,73,133
25,131,56,179
25,131,73,133
69,85,73,133
409,421,465,468
381,459,465,468
318,491,465,468
465,468,477,432
113,206,123,240
67,233,113,206
113,206,116,155
56,179,113,206
113,206,158,195
123,240,158,195
56,179,67,233
0,168,56,179
0,168,25,131
41,485,67,451
0,466,41,485
0,466,67,451
0,466,21,412
263,62,300,0
300,0,308,52
253,1,300,0
300,0,339,1
324,299,331,339
279,312,331,339
266,369,331,339
324,299,382,305
331,339,382,305
331,339,373,354
215,172,267,167
215,172,246,213
266,369,320,373
320,373,331,339
320,373,373,354
43,221,45,275
43,221,67,233
43,221,56,179
0,168,43,221
3,231,43,221
0,168,3,231
193,463,209,491
209,491,241,461
151,479,209,491
121,98,155,82
110,54,121,98
110,54,155,82
110,54,130,21
409,143,455,170
409,143,461,128
400,197,409,143
389,111,409,143
360,151,409,143
360,151,400,197
477,252,477,432
469,301,477,252
434,269,477,252
455,170,477,252
445,216,477,252
477,104,477,252
74,46,130,21
74,46,110,54
69,85,74,46
69,85,110,54
366,404,373,354
38,57,74,46
70,3,130,21
70,3,74,46
202,0,234,33
192,36,202,0
202,0,253,1
202,0,300,0
130,21,202,0
70,3,202,0
15,491,41,485
0,466,15,491
98,103,121,98
98,103,110,54
69,85,98,103
105,471,151,479
129,430,151,479
73,133,98,103
21,412,50,378
1,376,50,378
1,376,21,412
129,430,160,388
1,376,4,338
1,376,3,231
160,388,187,425
129,430,187,425
0,466,1,376
84,360,122,343
84,360,87,406
50,378,84,360
55,323,84,360
50,378,87,406
444,102,477,104
444,102,450,59
444,102,461,128
409,143,444,102
389,111,444,102
396,70,444,102
209,491,228,491
228,491,241,461
228,491,270,491
35,0,70,3
35,0,74,46
35,0,202,0
0,0,35,0
16,23,35,0
35,0,38,57
73,133,104,121
98,103,104,121
121,98,166,143
104,121,121,98
104,121,166,143
104,121,116,155
41,485,73,491
67,451,73,491
15,491,73,491
73,491,105,471
73,491,151,479
73,491,209,491
0,111,14,81
0,0,0,111
0,111,25,131
0,111,0,168
334,450,366,404
308,417,334,450
308,417,366,404
138,289,186,272
290,458,308,417
236,415,266,369
266,369,308,417
236,415,308,417
236,415,290,458
160,388,207,379
187,425,207,379
207,379,236,415
320,373,366,404
308,417,320,373
123,240,186,272
123,240,138,289
158,195,186,272
203,218,215,172
158,195,203,218
186,272,203,218
203,218,240,268
203,218,246,213
155,82,166,143
263,117,267,167
216,128,263,117
216,128,267,167
215,172,216,128
209,79,216,128
155,82,216,128
166,143,216,128
